"value","se","ci","lower","upper","variable","model"
0.00688666548107367,NA,0.95,1.02992334691849e-05,0.0195903486264237,"tau2_sd_index_intercept","rsfBrms_BUCA_H1_binary_BUCA_H1_binary"
0.966241142955458,0.00432342539444767,0.95,0.957641201468176,0.974556373157112,"r2 conditional","rsfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.872856991408555,0.00767871011247734,0.95,0.854916648133142,0.885908109296435,"r2 marginal","rsfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.186126154882306,NA,0.95,0.158381152447413,0.21535881783821,"tau2_sd_index_intercept","rsfBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.235707798914942,0.061554054884265,0.95,0.112834558124991,0.344579852935193,"r2 conditional","rsfBrms_BUFA_H1_binary_BUFA_H1_binary"
0.224661341264456,0.0618255834444722,0.95,0.101179921011445,0.332893131404023,"r2 marginal","rsfBrms_BUFA_H1_binary_BUFA_H1_binary"
0.00605087291338436,NA,0.95,2.74204054586471e-06,0.0169465386053079,"tau2_sd_index_intercept","rsfBrms_BUFA_H1_binary_BUFA_H1_binary"
0.947521833792144,0.0111110101183133,0.95,0.925486234043115,0.968821213540293,"r2 conditional","rsfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.787901904580756,0.0188425437539373,0.95,0.752276797849224,0.822333442027753,"r2 marginal","rsfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.597277453169544,NA,0.95,0.520203688766152,0.69493813795636,"tau2_sd_index_intercept","rsfBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.933343632233292,0.0351643258300166,0.95,0.680426981011053,0.976270434470552,"r2 conditional","twoStepBrms_OPHA_H1_binary_OPHA_H1_binary"
0.935745282967285,0.0352734793422777,0.95,0.677102765914311,0.975586985367588,"r2 marginal","twoStepBrms_OPHA_H1_binary_OPHA_H1_binary"
0.0131252784827332,NA,0.95,2.83123536091041e-06,0.0413774310598109,"tau2_sd_index_intercept","twoStepBrms_OPHA_H1_binary_OPHA_H1_binary"
0.48317084468501,0.146385149017498,0.95,0.166956073866111,0.648739803966686,"r2 conditional","twoStepBrms_OPHA_H2_binary_OPHA_H2_binary"
0.466558977131084,0.170244589597628,0.95,0.121321917225225,0.638991179249976,"r2 marginal","twoStepBrms_OPHA_H2_binary_OPHA_H2_binary"
0.0151969339238886,NA,0.95,5.90948994128102e-05,0.0462329166972953,"tau2_sd_index_intercept","twoStepBrms_OPHA_H2_binary_OPHA_H2_binary"
0.550473349142173,0.0970044229861527,0.95,0.310579301554209,0.676672730074927,"r2 conditional","twoStepBrms_OPHA_H1_continuous_OPHA_H1_continuous"
